epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8096,1.19366,3.59968,1.24711,0.00465,1,0.50829,0.29427,0.62794,3.71539,1.00633,3.334e-05,3.334e-05,3.334e-05
2,24.6991,0.96939,3.14222,1.15985,0.00482,1,0.65403,0.40891,0.50694,3.60784,0.96431,8.25248e-05,8.25248e-05,8.25248e-05
3,34.5464,0.82002,2.79271,1.05707,0.00512,1,0.8594,0.65801,0.57271,3.40715,0.91625,0.000130719,0.000130719,0.000130719
4,45.0292,0.8632,1.92559,1.02239,0.00544,1,0.971,0.81454,0.60647,3.09383,0.86191,0.000177924,0.000177924,0.000177924
