epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,837.679,0.56785,1.00717,0.94642,0.98155,1,0.995,0.86422,0.56192,2.64931,1.10378,0.000678554,0.000678554,0.000678554
45,853.192,0.61951,0.96132,0.97654,0.98155,1,0.995,0.86422,0.56192,2.64931,1.10378,0.000675793,0.000675793,0.000675793
46,868.964,0.51243,0.93116,0.93118,1,0.97888,0.995,0.93257,0.49413,2.79371,1.03392,0.000672207,0.000672207,0.000672207
47,884.71,0.51441,0.87458,0.92888,1,0.97888,0.995,0.93257,0.49413,2.79371,1.03392,0.000667796,0.000667796,0.000667796
48,901.294,0.51409,0.97717,0.95634,0.79538,0.97688,0.945,0.85872,0.47871,2.91115,1.03233,0.00066256,0.00066256,0.00066256
49,917.305,0.5935,1.23215,1.03212,0.79538,0.97688,0.945,0.85872,0.47871,2.91115,1.03233,0.000656498,0.000656498,0.000656498
50,932.868,0.61247,1.1263,1.08803,0.51151,1,0.78786,0.57477,0.6601,3.40086,1.13351,0.000649611,0.000649611,0.000649611
51,948.6,0.5617,1.03566,0.99621,0.51151,1,0.78786,0.57477,0.6601,3.40086,1.13351,0.000635544,0.000635544,0.000635544
52,964.116,0.61718,1.2407,1.08616,0.88777,1,0.995,0.77804,0.67687,3.5669,1.14676,0.000614915,0.000614915,0.000614915
53,979.535,0.59015,0.90656,0.96129,0.88777,1,0.995,0.77804,0.67687,3.5669,1.14676,0.000594286,0.000594286,0.000594286
54,995.041,0.57055,1.02011,1.00135,0.95572,1,0.995,0.8955,0.60651,2.98972,1.07402,0.000573656,0.000573656,0.000573656
55,1010.37,0.55971,0.93489,1.01035,0.95572,1,0.995,0.8955,0.60651,2.98972,1.07402,0.000553027,0.000553027,0.000553027
56,1025.94,0.55632,1.01448,0.9442,0.96659,1,0.995,0.8955,0.54887,2.38002,0.99761,0.000532398,0.000532398,0.000532398
57,1041.82,0.60008,1.05248,1.06577,0.96659,1,0.995,0.8955,0.54887,2.38002,0.99761,0.000511769,0.000511769,0.000511769
58,1057.72,0.65347,1.20828,1.07333,0.98373,1,0.995,0.85763,0.55193,2.09158,1.00238,0.00049114,0.00049114,0.00049114
59,1073.86,0.51721,0.82023,0.86756,0.98373,1,0.995,0.85763,0.55193,2.09158,1.00238,0.000470511,0.000470511,0.000470511
60,1090.09,0.52794,0.92559,0.87677,0.98628,1,0.995,0.85765,0.61623,1.99015,1.08665,0.000449882,0.000449882,0.000449882
61,1106.49,0.53611,0.84993,0.93762,0.98628,1,0.995,0.85765,0.61623,1.99015,1.08665,0.000429253,0.000429253,0.000429253
62,1122.04,0.48484,0.88197,0.87084,0.98715,1,0.995,0.85766,0.62025,1.89129,1.09279,0.000408623,0.000408623,0.000408623
63,1138.06,0.46022,0.92755,0.94766,0.98715,1,0.995,0.85766,0.62025,1.89129,1.09279,0.000387994,0.000387994,0.000387994
64,1154.02,0.47444,0.85221,0.94443,0.98717,1,0.995,0.85195,0.5963,1.8596,1.02471,0.000367365,0.000367365,0.000367365
65,1169.55,0.47442,0.91137,0.86812,0.98717,1,0.995,0.85195,0.5963,1.8596,1.02471,0.000346736,0.000346736,0.000346736
66,1185.8,0.50691,0.98305,0.98267,0.98708,1,0.995,0.85807,0.55321,1.76177,1.00042,0.000326107,0.000326107,0.000326107
67,1201.41,0.59616,0.90179,0.99284,0.98708,1,0.995,0.85807,0.55321,1.76177,1.00042,0.000305478,0.000305478,0.000305478
68,1217.32,0.42411,0.93512,0.95177,0.98743,1,0.995,0.86432,0.52851,1.68229,0.9847,0.000284849,0.000284849,0.000284849
69,1232.73,0.53722,0.80471,0.94026,0.98743,1,0.995,0.86432,0.52851,1.68229,0.9847,0.00026422,0.00026422,0.00026422
70,1248.44,0.48459,0.94871,0.96961,0.98792,1,0.995,0.86432,0.52063,1.67194,0.98625,0.00024359,0.00024359,0.00024359
71,1264.23,0.38541,1.25066,0.89041,0.98792,1,0.995,0.86432,0.52063,1.67194,0.98625,0.000222961,0.000222961,0.000222961
72,1279.56,0.38122,1.24334,0.89512,0.98822,1,0.995,0.8955,0.52864,1.68175,0.99841,0.000202332,0.000202332,0.000202332
73,1294.77,0.4052,1.20037,0.92433,0.98822,1,0.995,0.8955,0.52864,1.68175,0.99841,0.000181703,0.000181703,0.000181703
74,1309.74,0.41463,1.13468,0.90949,0.9884,1,0.995,0.9017,0.53559,1.71424,1.00536,0.000161074,0.000161074,0.000161074
75,1325.07,0.36956,1.11723,0.78194,0.9884,1,0.995,0.9017,0.53559,1.71424,1.00536,0.000140445,0.000140445,0.000140445
76,1341.37,0.32985,1.18703,0.87267,0.98848,1,0.995,0.90171,0.51809,1.75085,0.98976,0.000119816,0.000119816,0.000119816
77,1357.11,0.38226,1.20219,0.94135,0.98848,1,0.995,0.90171,0.51809,1.75085,0.98976,9.91865e-05,9.91865e-05,9.91865e-05
78,1372.39,0.34166,1.22018,0.85047,0.98882,1,0.995,0.90171,0.50955,1.7692,0.98127,7.85574e-05,7.85574e-05,7.85574e-05
79,1387.38,0.33814,1.12219,0.84679,0.98882,1,0.995,0.90171,0.50955,1.7692,0.98127,5.79283e-05,5.79283e-05,5.79283e-05
80,1402.38,0.36946,1.20406,0.86428,0.98871,1,0.995,0.90171,0.50961,1.76855,0.97878,3.72991e-05,3.72991e-05,3.72991e-05
